項次編號,分類,行政區代碼,分隊名稱,巷道名稱,寬度,備註
245,黃區,63000100,大湖分隊,大湖街131巷,4.1,
246,黃區,63000110,劍潭分隊,中正路213巷,4.1,
247,黃區,63000120,關渡分隊,知行路202巷,4.8,
248,黃區,63000040,松江分隊,民生西路66巷,5.2,
249,黃區,63000060,大同分隊,昌吉街110巷,5,
250,黃區,63000060,大同分隊,重慶北路3段9巷,5,
251,黃區,63000110,山仔后分隊,新安路56巷,4.1,
252,黃區,63000030,金華分隊,金山南路2段203巷,4.5,
253,黃區,63000120,關渡分隊,西安橋(北投路1段),4.2,
254,黃區,63000060,大同分隊,南京西路107巷,4,
255,黃區,63000030,金華分隊,建國南路1段318巷,5.3,
256,黃區,63000030,金華分隊,新生南路1段143巷,5.3,
257,黃區,63000030,金華分隊,新生南路1段157巷,5.4,
258,黃區,63000030,金華分隊,新生南路1段139巷6弄,5.4,
259,黃區,63000110,劍潭分隊,中正路365巷,4,
260,黃區,63000050,泉州分隊,汀州路1段140巷及140巷13弄,4,
261,黃區,63000050,泉州分隊,和平西路2段98巷2弄,4.2,
262,黃區,63000030,金華分隊,新生南路1段133巷,5.4,
263,黃區,63000050,泉州分隊,詔安街26巷,4.2,
264,黃區,63000030,金華分隊,新生南路1段165巷,5.4,
265,黃區,63000060,延平分隊,南京西路18巷,4,
266,黃區,63000120,秀山分隊,石仙路（15號右側圍牆處至24號）,5.3,
267,黃區,63000080,木柵分隊,新光路1段32巷4弄,4.4,
268,黃區,63000030,金華分隊,復興南路2段340巷,4.5,
269,紅區,63000110,劍潭分隊,小西街33號至57-1號,2.9,
270,紅區,63000120,陽明山分隊,行義路112巷,3.5,
271,黃區,63000120,秀山分隊,中和街474巷(458巷45弄口起至474巷65弄口),4.5,
272,黃區,63000030,安和分隊,和平東路2段96巷17弄,4.4,
273,紅區,63000030,安和分隊,復興南路2段337巷6弄,3.8,
274,黃區,63000070,龍山分隊,隆昌街（西寧南路至昆明街）,4.1,
